season,home_team,away_team,home_win
20252026,VGK,MTL,0
20252026,MTL,WPG,1
20252026,MTL,STL,0
20252026,MTL,TBL,0
20252026,NYR,MTL,1
20252026,MTL,CHI,1
20252026,BOS,MTL,0
20252026,TBL,MTL,1
20252026,FLA,MTL,0
20252026,CAR,MTL,0
20252026,STL,MTL,1
20252026,DAL,MTL,0
20252026,MTL,FLA,1
20252026,MTL,DET,0
20252026,MTL,MIN,1
20252026,BOS,MTL,1
20252026,MTL,VGK,1
20252026,MIN,MTL,1
20252026,WPG,MTL,0
20252026,MTL,NYI,0
20252026,SJS,MTL,1
20252026,ANA,MTL,1
20252026,LAK,MTL,0
20252026,MTL,SJS,0
20252026,MTL,ANA,0
20252026,MTL,BOS,1
20252026,DET,MTL,1
20252026,MTL,NYI,1
20252026,MTL,CAR,1
20252026,MTL,CBJ,1
20252026,NSH,MTL,0
20252026,CAR,MTL,0
20252026,TBL,MTL,0
20252026,NYR,MTL,0
20252026,NJD,MTL,0
20252026,MTL,NJD,0
20252026,MTL,FLA,1
20252026,MTL,TBL,1
20252026,MTL,CBJ,0
20252026,NYI,MTL,0
20252026,TBL,MTL,0
20252026,TBL,MTL,1
20252026,MTL,TBL,1
20252026,MTL,TBL,0
20252026,TBL,MTL,0
20252026,MTL,TBL,0
20252026,TBL,MTL,0
20252026,CAR,MTL,0
20252026,CAR,MTL,1
20252026,MTL,CAR,0
20252026,MTL,CAR,0
20252026,CAR,MTL,1
20252026,DAL,STL,1
20252026,CBJ,STL,1
20252026,STL,CHI,0
20252026,STL,DAL,0
20252026,CHI,STL,0
20252026,STL,MIN,0
20252026,STL,CHI,0
20252026,STL,DAL,1
20252026,STL,LAK,0
20252026,STL,UTA,0
20252026,DET,STL,1
20252026,STL,DET,0
20252026,CBJ,STL,1
20252026,STL,SEA,0
20252026,STL,VGK,0
20252026,NYI,STL,0
20252026,NYR,STL,1
20252026,NJD,STL,1
20252026,STL,UTA,1
20252026,STL,ANA,0
20252026,BOS,STL,1
20252026,STL,BOS,0
20252026,NSH,STL,1
20252026,STL,CHI,1
20252026,STL,NSH,0
20252026,STL,WPG,1
20252026,STL,NYR,0
20252026,FLA,STL,0
20252026,TBL,STL,1
20252026,STL,NSH,1
20252026,STL,VGK,1
20252026,CHI,STL,1
20252026,UTA,STL,1
20252026,VGK,STL,1
20252026,STL,CAR,1
20252026,STL,TBL,1
20252026,WPG,STL,1
20252026,DAL,STL,1
20252026,STL,LAK,0
20252026,STL,DAL,0
20252026,STL,FLA,1
20252026,STL,CBJ,0
20252026,NSH,STL,1
20252026,DAL,STL,1
20252026,STL,SEA,1
20252026,STL,NJD,0
20252026,MIN,STL,0
20252026,SEA,STL,0
20252026,SJS,STL,0
20252026,ANA,STL,0
20252026,STL,NYI,0
20252026,CAR,STL,0
20252026,WPG,STL,1
20252026,STL,SJS,1
20252026,SJS,STL,1
20252026,LAK,STL,1
20252026,ANA,STL,0
20252026,STL,WPG,0
20252026,CHI,STL,0
20252026,STL,MIN,1
20252026,UTA,STL,0
20252026,NSH,FLA,1
20252026,NSH,FLA,1
20252026,CAR,FLA,0
20252026,FLA,CAR,1
20252026,TBL,FLA,1
20252026,TBL,FLA,1
20252026,FLA,TBL,1
20252026,FLA,CHI,1
20252026,DET,FLA,1
20252026,NJD,FLA,1
20252026,BOS,FLA,0
20252026,FLA,VGK,1
20252026,FLA,ANA,0
20252026,FLA,DAL,1
20252026,ANA,FLA,1
20252026,LAK,FLA,0
20252026,SJS,FLA,1
20252026,VGK,FLA,0
20252026,FLA,TBL,0
20252026,FLA,NJD,1
20252026,NSH,FLA,0
20252026,FLA,NSH,0
20252026,FLA,CBJ,1
20252026,FLA,NYI,1
20252026,UTA,FLA,0
20252026,DAL,FLA,0
20252026,TBL,FLA,0
20252026,FLA,LAK,1
20252026,FLA,CAR,1
20252026,CAR,FLA,0
20252026,FLA,TBL,0
20252026,FLA,NYR,0
20252026,CAR,FLA,1
20252026,FLA,SJS,0
20252026,WPG,FLA,0
20252026,MIN,FLA,0
20252026,CHI,FLA,0
20252026,FLA,UTA,0
20252026,FLA,WPG,0
20252026,FLA,BOS,1
20252026,TBL,FLA,1
20252026,NYI,FLA,1
20252026,NJD,FLA,1
20252026,CBJ,FLA,1
20252026,DET,FLA,0
20252026,FLA,DET,1
20252026,FLA,CBJ,1
20252026,SEA,FLA,1
20252026,FLA,SEA,1
20252026,FLA,MIN,0
20252026,NYI,FLA,1
20252026,NYR,FLA,1
20252026,FLA,BOS,1
20252026,FLA,NYR,1
20252026,FLA,DET,1
20252026,SEA,ANA,1
20252026,SEA,VGK,1
20252026,WPG,SEA,0
20252026,SEA,NYR,0
20252026,SEA,CHI,1
20252026,SEA,SJS,0
20252026,DAL,SEA,1
20252026,SEA,CBJ,0
20252026,SEA,WPG,1
20252026,SEA,SJS,1
20252026,DET,SEA,1
20252026,CHI,SEA,0
20252026,NYI,SEA,1
20252026,SEA,DAL,0
20252026,SEA,DET,0
20252026,SEA,MIN,0
20252026,SEA,LAK,1
20252026,UTA,SEA,1
20252026,SJS,SEA,0
20252026,ANA,SEA,0
20252026,LAK,SEA,0
20252026,SEA,NSH,1
